pathway	pval	padj	log2err	ES	NES	size	leadingEdge	magNES
RNA CATABOLIC PROCESS%GOBP%GO:0006401	7.22E-08	3.26E-06	0.704975715	-0.489954821	-1.965752079	164	"RNASE6, RPS4X, RPL26L1, RPL27A, LSM3, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, ISG20, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, POLR2G, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, ERN1, RPS13, RPL23, RNASE2, EXOSC1, RPL7A, RPL37, RNASE3, LSM6, RPS10, RPSA, EXOSC3, RPL17, PABPC4, RPS18, RPS29, SMG1, RPS15, RNASET2, LSM7, PNRC2, RNPS1, EXOSC6, EIF3E, RPS16, RPL22, RPS27, RPL37A, RPL3, CNOT7, RPS26, RPS15A, RPL26, RPL23A, RPL14"	1.965752079
MULTI-ORGANISM METABOLIC PROCESS%GOBP%GO:0044033	6.42E-06	0.000172794	0.610526878	-0.498210395	-1.933007267	119	"RPS4X, RPL26L1, RPL27A, NUP214, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RAE1, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, EIF3G, RPS10, RPSA, RPL17, EIF3F, RPS18, RPS29, RPS15, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, NUP37, RPL8, EIF3L, RPL18A"	1.933007267
MRNA CATABOLIC PROCESS%GOBP%GO:0006402	1.07E-06	3.18E-05	0.643551836	-0.483023016	-1.926693291	150	"RPS4X, RPL26L1, RPL27A, LSM3, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, POLR2G, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, ERN1, RPS13, RPL23, EXOSC1, RPL7A, RPL37, LSM6, RPS10, RPSA, EXOSC3, RPL17, RPS18, RPS29, SMG1, RPS15, LSM7, PNRC2, RNPS1, EXOSC6, EIF3E, RPS16, RPL22, RPS27, RPL37A, RPL3, CNOT7, RPS26, RPS15A, RPL26, RPL23A, RPL14"	1.926693291
INFLUENZA INFECTION%REACTOME DATABASE ID RELEASE 56%168254	2.32E-06	6.50E-05	0.62725674	-0.495283123	-1.92095867	120	"RPS4X, RPL26L1, RPL27A, NUP214, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, GTF2F2, RPL19, RPL13, RPL35A, POLR2F, RPS9, POLR2G, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RAE1, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, POLR2C, CLTA, RPS10, RPSA, RPL17, RPS18, RPS29, RPS15, POLR2H, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RAN, RPL4, NUP37, RPL8"	1.92095867
INNATE IMMUNE RESPONSE%GOBP%GO:0045087	8.75E-08	3.56E-06	0.704975715	-0.453460892	-1.891181977	219	"AIF1, IFITM2, B2M, IFNGR1, CFD, TLR8, PSMB8, NCF1, CD58, FCER1G, RPL13A, RPL39, CYBA, IFITM1, IGLL1, HLA-C, KLRD1, ISG20, HLA-DRB4, SIGLEC14, NCF2, BST2, IFNGR2, IFITM3, SLPI, CFP, RPS27A, DDX58, ANG, CCL5, TMEM173, CORO1A, UBC, HLA-B, HLA-DPA1, IRF2, LYST, TREM1, MATK, CHUK, TYROBP, HLA-DQA1, HLA-E, APOBEC3F, BMX, CAMK2G, RNASE3, HLA-DRA, HIST1H2BK, CAPZA2, LCN2, HLA-DPB1, LYN, CXCL16, PGLYRP1, BLK, APOBEC3G, SHMT2, VNN1, IRF4, S100A12, HIST1H2BJ, TRIM28, SLC11A1, LGALS9, HIST1H2BC, HIST2H2BE, CEBPG, FCN1, GAPDH, PPP1R14B, HLA-DRB1, FGR, DEFA3, FCGR1B, TBK1, CCL4L2, RNASEL, IP6K2, DEFA1, TLR4, CSK, RIPK2, KYNU, RNF135, FCGR1A, UBA52, GZMB, PPARG"	1.891181977
ESTABLISHMENT OF PROTEIN LOCALIZATION TO MEMBRANE%GOBP%GO:0090150	8.32E-07	2.58E-05	0.659444398	-0.455509603	-1.850106009	177	"RPS4X, RILPL2, RPL26L1, RPL27A, SRP19, SSR2, RAB31, RPS2, RPL27, S100A10, RPL12, RPL24, NCF1, RPL6, RPL13A, RPL39, RPL31, RPS17, RAB13, RPS14, RPS3, TNFRSF1A, RPS19, RPL19, RPL13, RPL35A, TMED2, RPS9, BAX, RPL5, RPL10A, RPS27A, RPL30, RPLP0, SRP14, RPL11, RPL15, RPS8, RPL38, RPS6, ATG4C, BID, RPS13, RPL23, FLOT2, RPL7A, RPL37, TIMM9, RPS10, RPSA, SRP9, RPL17, TOMM22, SRPRB, RPS18, RPS29, RPS15, TOMM7, RABGEF1, RPS16, ATG3, ATG4B, RPL22, TMEM150A, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, ROCK1, RPL23A, RPL14"	1.850106009
RIBOSOME BIOGENESIS%GOBP%GO:0042254	4.67E-07	1.55E-05	0.67496286	-0.446212962	-1.832330679	197	"RPS4X, RPL26L1, NOP10, RPL27A, MRPL1, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, NSA2, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPS27L, MRPL36, MPHOSPH6, RPP21, RPL11, TRMT112, RPL15, RPS8, RPL38, RPS6, RRP15, RSL24D1, RPS13, RPL23, UTP11L, EXOSC1, RPL7A, RPL37, LSM6, RPS10, NHP2, RPSA, RPF1, EXOSC3, RPL17, NGDN, CSNK1E, SBDS, RPS18, RPS29, RPS15, RIOK2, EXOSC6, GNL1, RPS16, RPL22, RPF2, RPS27, RPL37A, RPL3, FTSJ2, C1QBP, RPS26, RPS15A, CSNK1D, RPL26, MRPL11, RPL23A, RPL14, CIRH1A, RAN, RPL4, MRPS11, RPL8, UTP14C, RPL18A"	1.832330679
DNA REPLICATION%GOBP%GO:0006260	8.09E-05	0.001955502	0.538434096	0.471148825	1.820313096	90	"RPA1, MCM3AP, MCM5, RBM14, KCTD13, NASP, TOP1, POLG, HUS1, NUP98, MCM7, TOPBP1, WRN, MCM8, POLD3, MCM6, NCOA6, RTEL1, NT5M, POLD2, THOC1, HMGA1, POLL, CDC7, LIG1, RFC5, NBN"	1.820313096
IMMUNE RESPONSE%GOBP%GO:0006955	4.72E-09	4.21E-07	0.761460801	-0.409152501	-1.811691903	403	"AIF1, GPSM3, CRIP1, GAPT, PYCARD, IFITM2, B2M, LST1, IFNGR1, CFD, TLR8, PSMB8, NCF1, CD58, FCER1G, RPL13A, CTSS, RPL39, CYBA, CEBPB, IFITM1, CTSW, IGLL1, HLA-C, KLRD1, ISG20, HLA-DRB4, TNFRSF1A, CST7, SIGLEC14, NCF2, SH2D1B, BST2, IFNGR2, IFITM3, SLPI, CFP, VAMP8, BST1, IGSF6, CTSH, RPS27A, IL18RAP, DDX58, ANG, CCL5, NCF4, TMEM173, CORO1A, UBC, FCGR3B, TNFRSF10B, HLA-B, LTBR, HLA-DPA1, IRF2, LYST, TREM1, MATK, XBP1, CHUK, TYROBP, IL18R1, HLA-DQA1, HLA-E, APOBEC3F, BMX, MAP4K2, CAMK2G, AQP9, RNASE3, VPREB3, HLA-DRA, HIST1H2BK, CTSC, IL10RB, CAPZA2, LCN2, HLA-DPB1, LYN, ADM, CXCL16, PGLYRP1, PSMB10, BLK, SBNO2, APOBEC3G, EXOSC3, LY86, WAS, TLR6, SHMT2, C5AR1, GZMA, VNN1, CD46, HMGB2, FCAR, IRF4, S100A12, HIST1H2BJ, TRIM28, LTB4R, SNAP23, SLC11A1, ZFPM1, S1PR4, SEMA3C, EXOSC6, GNL1, LGALS9, CD7, HIST1H2BC, HIST2H2BE, MARCH1, CEBPG, FCN1, GAPDH, PPP1R14B, PTGER4, AIM2, C1QBP, HLA-DRB1, FGR, CCR1, DEFA3, FCGR1B, TBK1, TNFRSF1B, CCL4L2, RNASEL, CD86, IP6K2, DEFA1, TLR4, CD74, CSK, OTUD7B, TLR1, RIPK2, ATP6V0A2, KYNU, GZMH, RNF135, FCGR1A, DOCK2, UBA52, GZMB, PPARG, TCF12, FFAR2"	1.811691903
AROMATIC COMPOUND CATABOLIC PROCESS%GOBP%GO:0019439	7.69E-07	2.49E-05	0.659444398	-0.431469794	-1.811462189	234	"RNASE6, RPS4X, PCBD1, RPL26L1, RPL27A, NUDT5, LSM3, NUDT3, RPS2, RPL27, QDPR, RPL12, RPL24, RPL6, RPL13A, RPL39, HNMT, ISG20, RPL31, RPS17, RPS14, RPS3, RPS19, NUDT7, RPL19, RPL13, RPL35A, RPS9, POLR2G, RPL5, RPL10A, RPS27A, CDA, RPL30, RPLP0, RPL11, RPL15, RPS8, DICER1, DPYD, RPL38, RPS6, HINT1, MTHFS, ERN1, RPS13, HPRT1, RPL23, UPP1, RNASE2, EXOSC1, NT5C, RPL7A, RPL37, RNASE3, LSM6, DFFA, RPS10, RPSA, APOBEC3G, EXOSC3, RPL17, PABPC4, HMGB2, RPS18, RPS29, SMG1, EPHX2, RPS15, RNASET2, LSM7, PNRC2, RNPS1, EXOSC6, EIF3E, RPS16, DCTPP1, RPL22, RPS27, RPL37A, OGG1, RPL3, CNOT7, RPS26, DERA, RPS15A, RPL26, RPL23A, RPL14"	1.811462189
NUCLEOBASE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0034655	3.83E-07	1.33E-05	0.67496286	-0.43601529	-1.810872059	215	"RNASE6, RPS4X, RPL26L1, RPL27A, NUDT5, LSM3, NUDT3, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, ISG20, RPL31, RPS17, RPS14, RPS3, RPS19, NUDT7, RPL19, RPL13, RPL35A, RPS9, POLR2G, RPL5, RPL10A, RPS27A, CDA, RPL30, RPLP0, RPL11, RPL15, RPS8, DICER1, DPYD, RPL38, RPS6, HINT1, ERN1, RPS13, HPRT1, RPL23, UPP1, RNASE2, EXOSC1, NT5C, RPL7A, RPL37, RNASE3, LSM6, DFFA, RPS10, RPSA, APOBEC3G, EXOSC3, RPL17, PABPC4, HMGB2, RPS18, RPS29, SMG1, RPS15, RNASET2, LSM7, PNRC2, RNPS1, EXOSC6, EIF3E, RPS16, DCTPP1, RPL22, RPS27, RPL37A, OGG1, RPL3, CNOT7, RPS26, DERA, RPS15A, RPL26, RPL23A, RPL14"	1.810872059
ORGANIC CYCLIC COMPOUND CATABOLIC PROCESS%GOBP%GO:1901361	8.27E-07	2.58E-05	0.659444398	-0.426839953	-1.795205389	240	"RNASE6, RPS4X, PCBD1, RPL26L1, RPL27A, NUDT5, LSM3, NUDT3, HSD17B11, RPS2, RPL27, QDPR, RPL12, RPL24, RPL6, RPL13A, RPL39, HNMT, ISG20, RPL31, RPS17, RPS14, RPS3, RPS19, NUDT7, RPL19, RPL13, RPL35A, RPS9, POLR2G, RPL5, RPL10A, RPS27A, CDA, RPL30, RPLP0, RPL11, RPL15, RPS8, DICER1, DPYD, RPL38, RPS6, HINT1, MTHFS, ERN1, RPS13, HPRT1, RPL23, UPP1, RNASE2, EXOSC1, NT5C, RPL7A, RPL37, RNASE3, LSM6, DFFA, RPS10, RPSA, APOBEC3G, EXOSC3, RPL17, PABPC4, HMGB2, RPS18, RPS29, SMG1, EPHX2, RPS15, RNASET2, LSM7, PNRC2, RNPS1, EXOSC6, EIF3E, RPS16, DCTPP1, RPL22, RPS27, RPL37A, OGG1, RPL3, CNOT7, RPS26, DERA, RPS15A, RPL26, RPL23A, RPL14"	1.795205389
HETEROCYCLE CATABOLIC PROCESS%GOBP%GO:0046700	4.39E-07	1.49E-05	0.67496286	-0.428734253	-1.795188459	228	"RNASE6, RPS4X, RPL26L1, RPL27A, NUDT5, LSM3, NUDT3, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, HNMT, ISG20, RPL31, RPS17, RPS14, RPS3, RPS19, NUDT7, RPL19, RPL13, RPL35A, RPS9, POLR2G, RPL5, RPL10A, RPS27A, CDA, RPL30, RPLP0, RPL11, RPL15, RPS8, DICER1, DPYD, RPL38, RPS6, HINT1, MTHFS, ERN1, RPS13, HPRT1, RPL23, UPP1, RNASE2, EXOSC1, NT5C, RPL7A, RPL37, RNASE3, LSM6, DFFA, RPS10, RPSA, APOBEC3G, EXOSC3, RPL17, PABPC4, HMGB2, RPS18, RPS29, SMG1, RPS15, RNASET2, LSM7, PNRC2, RNPS1, EXOSC6, EIF3E, RPS16, DCTPP1, RPL22, RPS27, RPL37A, OGG1, RPL3, CNOT7, RPS26, DERA, RPS15A, RPL26, RPL23A, RPL14"	1.795188459
CHROMATIN REMODELING%GOBP%GO:0006338	0.000304515	0.006203411	0.498493109	0.488232075	1.790609088	68	"PSME4, NASP, TOP1, CHRAC1, ACTB, HIST1H4K, HDAC1, INO80, KAT2A, CENPV, BAZ1B, HIST1H4H, HMGA1, ZNHIT1, SMARCC1, OIP5, PIH1D1, BRD4, RBBP4, SUPT6H, CENPN, CENPT, CHD8, SMARCC2, SUPT5H, RUVBL2, SUPT4H1, BAZ2A"	1.790609088
CELLULAR NITROGEN COMPOUND CATABOLIC PROCESS%GOBP%GO:0044270	8.56E-07	2.60E-05	0.659444398	-0.427400522	-1.789236896	229	"RNASE6, RPS4X, RPL26L1, RPL27A, NUDT5, LSM3, NUDT3, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, HNMT, ISG20, RPL31, RPS17, RPS14, RPS3, RPS19, NUDT7, RPL19, RPL13, RPL35A, RPS9, POLR2G, RPL5, RPL10A, RPS27A, CDA, RPL30, RPLP0, RPL11, RPL15, RPS8, DICER1, DPYD, RPL38, RPS6, HINT1, MTHFS, ERN1, RPS13, HPRT1, RPL23, UPP1, RNASE2, EXOSC1, NT5C, RPL7A, RPL37, RNASE3, LSM6, DFFA, RPS10, RPSA, APOBEC3G, EXOSC3, RPL17, PABPC4, HMGB2, RPS18, RPS29, SMG1, RPS15, RNASET2, LSM7, PNRC2, RNPS1, EXOSC6, EIF3E, RPS16, DCTPP1, RPL22, RPS27, RPL37A, OGG1, RPL3, CNOT7, RPS26, DERA, RPS15A, RPL26, RPL23A, RPL14"	1.789236896
IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME%R-HSA-198933.3	0.000397568	0.007538809	0.498493109	-0.487676599	-1.759634198	77	"LILRA2, B2M, KLRB1, IFITM1, HLA-C, KLRD1, KLRC1, SH2D1B, CD1D, KLRF1, ICAM3, HLA-B, ITGB2, AMICA1, TREM1, TYROBP, CD22, CD19, HLA-E, CD33, SIGLEC9, SIGLEC10, CLEC2B, CD160, LILRA6, SELL, CD81, LILRA3, LILRA5, ITGB1"	1.759634198
CELL CHEMOTAXIS%GOBP%GO:0060326	0.00099971	0.015328879	0.455059867	-0.519553966	-1.755427813	53	"RHOG, CKLF, ANXA1, FCER1G, S100A9, CXCR4, RAB13, RPS19, ARRB2, CCL5, ITGB2, AMICA1, LYST, CXCR1, CXCL16, HMGB2, SBDS, S100A12, FOLR2"	1.755427813
PROTEIN LOCALIZATION TO MEMBRANE%GOBP%GO:0072657	4.03E-06	0.000110568	0.610526878	-0.423823625	-1.74776414	203	"RPS4X, RILPL2, RPL26L1, RPL27A, SRP19, SSR2, ITGB1BP1, RAB31, RPS2, RPL27, S100A10, RPL12, RPL24, NCF1, RPL6, RPL13A, LRP6, RPL39, RPL31, RPS17, RAB13, RPS14, RPS3, TNFRSF1A, RPS19, RPL19, RPL13, RPL35A, TMED2, RPS9, BAX, RPL5, RPL10A, RPS27A, RPL30, RPLP0, SRP14, RPL11, RPL15, RPS8, RPL38, RPS6, ATG4C, BID, ITGB2, RPS13, RPL23, FLOT2, RPL7A, RPL37, TIMM9, RPS10, RPSA, SRP9, RPL17, RAB8A, TOMM22, SRPRB, RPS18, RPS29, RPS15, TOMM7, HPS6, RABGEF1, RPS16, ATG3, ATG4B, RPL22, TMEM150A, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, ROCK1, RPL23A, RPL14"	1.74776414
DEFENSE RESPONSE%GOBP%GO:0006952	3.26E-08	1.66E-06	0.719512826	-0.391707202	-1.743521849	434	"RNASE6, AIF1, LILRA2, PYCARD, MNDA, COX8A, IFITM2, B2M, LYZ, CST3, IFNGR1, CFD, CD48, ANXA1, KLRC3, TLR8, PSMB8, NCF1, CD58, FCER1G, RPL13A, RPL39, CYBA, S100A9, IL32, CEBPB, IFITM1, IGLL1, HLA-C, KLRD1, ISG20, CXCR4, HLA-DRB4, TNFRSF1A, SIGLEC14, NCF2, BST2, IFNGR2, IFITM3, SLPI, CFP, RPS27A, IL18RAP, DDX58, SLC35B3, ANG, CCL5, TMEM173, PROK2, SLC25A19, CORO1A, UBC, FCGR3B, TNFRSF10B, HLA-B, ITGB2, LTBR, HLA-DPA1, IRF2, LYST, TREM1, ORM1, LY96, MATK, CXCR1, CHUK, TYROBP, NFE2L1, PTPRCAP, CD19, HLA-DQA1, FOS, SNRPD1, HLA-E, APOBEC3F, BMX, CAMK2G, CCR3, C8orf59, RNASE3, CLEC7A, LTA4H, TRAT1, HLA-DRA, HIST1H2BK, IL10RB, CAPZA2, LCN2, HLA-DPB1, LYN, ADM, CXCL16, PGLYRP1, BLK, LSP1, APOBEC3G, PTPRC, TNFSF4, WAS, TLR6, SHMT2, C5AR1, CD160, VNN1, HMGB2, RAC1, IRF4, S100A12, MDH1, EPHX2, HIST1H2BJ, TRIM28, SNAP23, PARP4, SLC11A1, FOLR2, GNLY, HP, RBM18, LILRA3"	1.743521849
CELLULAR RESPONSE TO NUTRIENT LEVELS%GOBP%GO:0031669	0.002200516	0.027286393	0.431707696	0.485067136	1.731067743	55	"RRAGB, ALB, EIF2AK4, WDR59, GCN1L1, TSC1, WRN, CPEB4, PMAIP1, ULK1, EIF2AK2, NCOA1, MAP1LC3B, FOXO1, MTMR3, USP33, MAP1LC3A, RRAGA, ASNS, CAV1, SREBF1, BMPR2"	1.731067743
REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050776	4.03E-08	1.98E-06	0.719512826	-0.387587545	-1.728894492	438	"PYCARD, CNPY3, MNDA, ARPC1B, B2M, MAPKAPK3, MAPK3, ARPC2, IFNGR1, KLRB1, CFD, ANXA1, TLR8, PSMB8, FCER1G, CTSS, CYBA, CALM2, IFITM1, IGLL1, HLA-C, KLRD1, HLA-DRB4, KLRC1, TICAM1, PSMB1, FCER1A, RPS19, SH2D1B, CD1D, ACTG1, PRKCZ, MAPK1, ARPC5, BST2, IFNGR2, ARPC3, FKBP1A, TNIP2, CFP, CD79A, BAX, PSMC6, VAMP8, PSMA6, CTSH, RPS27A, NFKBIA, CLEC4A, KLRF1, PSMA4, ARRB2, DDX58, MAPK9, CCL5, ICAM3, TMEM173, SPG21, UBC, LGMN, CUEDC2, HLA-B, ITGB2, HLA-DPA1, GRB2, AMICA1, STAP1, TREM1, LY96, XBP1, ERAP1, CD14, CHUK, TYROBP, UNC13D, CD19, HLA-DQA1, FOS, HLA-E, CD33, FLOT2, STX7, SKAP2, SIGLEC9, CLEC7A, TRAT1, HLA-DRA, HAVCR2, INPP5D, HLA-DPB1, LYN, PLCG2, PSMB10, CFI, BLK, PRKD2, CALM3, PTPRC, CLEC2B, TNFSF4, WAS, TLR6, C5AR1, VAV1, CD160, PHB2, CD46, RIPK3, RAC1, IRF4, LAT2, ARPC4, SELL, CD81, FCGR2A, PSMB4, CRK, SLC11A1, CLC, ITGAM, LGALS9, PPP3R1, ITGB1, PSMA3, PLD2, SAMSN1, FCN1, NCK1, COL17A1, ABI1, PSMD13, CD300A, AIM2, SPPL2A, C1QBP, PSMD11, RARA, UNC93B1, HLA-DRB1, FGR, NFATC1, TBK1, PSMB7, HCST"	1.728894492
RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME DATABASE ID RELEASE 56%72702	0.001422343	0.020487486	0.455059867	-0.511633384	-1.728666379	53	"RPS4X, EIF1AX, RPS2, EIF2S3, RPS17, RPS14, RPS3, RPS19, RPS9, RPS27A, RPS8, RPS6, RPS13, EIF3G, RPS10, RPSA, EIF3F, RPS18, RPS29, RPS15, EIF3E, RPS16, EIF3I, EIF3M, RPS27, RPS26, RPS15A"	1.728666379
DOUBLE-STRAND BREAK REPAIR%GOBP%GO:0006302	0.000562308	0.00968822	0.477270815	0.460889994	1.721962751	77	"RPA1, YY1, DCLRE1C, PIAS4, HUS1, RAD51C, UIMC1, WRN, DMC1, HIST1H4K, SFPQ, VCP, XRCC2, XRCC1, INO80, POLQ, BAZ1B, PAXIP1, HIST1H4H, NSMCE2, FAM175A, TDP1, POLL, CDC7"	1.721962751
CELLULAR RESPONSE TO EXTRACELLULAR STIMULUS%GOBP%GO:0031668	0.001188066	0.017833499	0.455059867	0.483919083	1.721887342	58	"RRAGB, ALB, EIF2AK4, WDR59, GCN1L1, TSC1, WRN, CPEB4, PMAIP1, ULK1, EIF2AK2, NCOA1, MAP1LC3B, FOXO1, MTMR3, NUDT1, USP33, MAP1LC3A, RRAGA, ASNS, CAV1, SREBF1, BMPR2"	1.721887342
DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742	0.001845999	0.024720881	0.455059867	-0.504571373	-1.709993548	55	"PYCARD, B2M, FCER1G, RPL39, S100A9, CEBPB, IGLL1, SLPI, CFP, ANG, LYST, HLA-E, RNASE3, HIST1H2BK, ADM, PGLYRP1, TLR6, HMGB2, S100A12, HIST1H2BJ, SLC11A1, HIST1H2BC, HIST2H2BE, FGR, DEFA3, DEFA1, TLR4, TLR1"	1.709993548
RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0034341	0.00054208	0.009657633	0.477270815	-0.464751507	-1.705928041	84	"AIF1, IFITM2, B2M, IFNGR1, CD58, RPL13A, IFITM1, HLA-C, HLA-DRB4, BST2, IFNGR2, IFITM3, CCL5, HLA-B, HLA-DPA1, IRF2, HLA-DQA1, HLA-E, CAMK2G, HLA-DRA, HLA-DPB1, CXCL16"	1.705928041
COPI-MEDIATED ANTEROGRADE TRANSPORT%REACTOME DATABASE ID RELEASE 56%6807878	0.002735206	0.033054272	0.431707696	0.477565751	1.704297415	55	"DCTN4, DYNLL2, SPTB, SPTBN4, COG2, ANK1, SPTA1, RAB1B, DYNC1I2, RAB1A, STX5, SPTBN2, DCTN3, USO1, DYNC1H1, COPA, TMEM115, ARFGAP3, NSF, ARFGAP2, DCTN5, SPTAN1, KDELR2, KDELR1"	1.704297415
REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050670	0.002002899	0.025501202	0.431707696	-0.486793669	-1.702293359	63	"AIF1, PYCARD, MNDA, LST1, ANXA1, CEBPB, CD1D, BST1, GLMN, CCL5, HLA-DPA1, HLA-E, NCK2, IRS2, HLA-DPB1, LYN, MIF, TNFSF13B, PTPRC, TNFSF4, CD46, RIPK3, CD81, CLC, LGALS9, NCK1, CD300A, HLA-DRB1"	1.702293359
REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032944	0.002002899	0.025501202	0.431707696	-0.486793669	-1.702293359	63	"AIF1, PYCARD, MNDA, LST1, ANXA1, CEBPB, CD1D, BST1, GLMN, CCL5, HLA-DPA1, HLA-E, NCK2, IRS2, HLA-DPB1, LYN, MIF, TNFSF13B, PTPRC, TNFSF4, CD46, RIPK3, CD81, CLC, LGALS9, NCK1, CD300A, HLA-DRB1"	1.702293359
REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070663	0.001758769	0.024115431	0.455059867	-0.482521134	-1.695128587	65	"AIF1, PYCARD, MNDA, LST1, ANXA1, CEBPB, CD1D, BST1, GLMN, CCL5, HLA-DPA1, HLA-E, NCK2, IRS2, HLA-DPB1, LYN, MIF, TNFSF13B, PTPRC, TNFSF4, CD46, RIPK3, CD81, CLC, LGALS9, NCK1, CD300A, HLA-DRB1"	1.695128587
POSITIVE REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050778	2.32E-06	6.50E-05	0.62725674	-0.393634288	-1.693844425	291	"PYCARD, CNPY3, MNDA, ARPC1B, B2M, MAPKAPK3, MAPK3, ARPC2, CFD, ANXA1, TLR8, PSMB8, FCER1G, CTSS, IGLL1, HLA-DRB4, TICAM1, PSMB1, RPS19, SH2D1B, CD1D, ACTG1, PRKCZ, MAPK1, ARPC5, ARPC3, TNIP2, CFP, CD79A, BAX, PSMC6, VAMP8, PSMA6, RPS27A, NFKBIA, CLEC4A, PSMA4, DDX58, CCL5, ICAM3, TMEM173, SPG21, UBC, LGMN, HLA-B, ITGB2, HLA-DPA1, GRB2, LY96, XBP1, CD14, CHUK, CD19, HLA-DQA1, HLA-E, STX7, SKAP2, CLEC7A, TRAT1, HLA-DRA, INPP5D, HLA-DPB1, LYN, PLCG2, PSMB10, BLK, PRKD2, PTPRC, TNFSF4, WAS, TLR6, VAV1, CD46, RAC1, LAT2, ARPC4, FCGR2A, PSMB4, CRK, SLC11A1, ITGAM, LGALS9, PSMA3, PLD2, FCN1, NCK1, ABI1, PSMD13, AIM2, PSMD11, RARA, UNC93B1, HLA-DRB1, FGR, TBK1, PSMB7, CD86, TLR4, UBE2D2, CD74, CSK, TLR1, RIPK2, SIN3A, FCGR1A, PSMA5, UBA52, CLEC4E, PSMB3, BAIAP2, TICAM2, FFAR2"	1.693844425
PARKINSON DISEASE%PANTHER PATHWAY%P00049	0.001709196	0.023807533	0.455059867	-0.490632114	-1.689836162	58	"MAPK3, HSPA6, PSMB1, MAPK1, PSMA6, PSMA4, YWHAZ, MAPK9, ADRBK1, CSNK2A2, STX7, LYN, PSMB10, BLK, UBE2L3, CSNK1E, PSMA3, PLD2, CSNK1D, FGR, PSMB7, CSK, CSNK1G2, HSPA8, PSMA5, PSMB3"	1.689836162
NCRNA PROCESSING%GOBP%GO:0034470	3.40E-05	0.000865081	0.557332239	-0.401482654	-1.681148126	231	"RPS4X, RPL26L1, NOP10, RPL27A, MRPL1, RPS2, RPL27, TRMT61A, RPL12, RPL24, RPL6, RPL13A, RPL39, TSEN34, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, NSA2, TRNT1, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPS27L, MPHOSPH6, RPP21, RPL11, TRMT112, RPL15, RPS8, DICER1, RPL38, RPS6, RRP15, RPS13, RPL23, UTP11L, EXOSC1, RPL7A, RPL37, LSM6, RPS10, NHP2, RPSA, RPF1, EXOSC3, RPL17, NGDN, CSNK1E, POP5, SBDS, RPS18, RPS29, C9orf156, RPS15, RIOK2, EXOSC6, RPS16, KIAA0391, TRMT5, RPL22, RPF2, RPS27, RPL37A, RPL3, FTSJ2, FARS2, RPS26, RPS15A, CSNK1D, RPL26, RPL23A, RPL14, CIRH1A, RPL4, MRPS11, RPL8, UTP14C, RPL18A, C2orf49"	1.681148126
