GO.ID	Description	p.Val	FDR	Phenotype
NEGATIVE REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN MITOTIC CELL CYCLE%GOBP%GO:0051436	NEGATIVE REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN MITOTIC CELL CYCLE	6.224355794005974e-4	0.0032996027368968474	-1
CYCLIN E ASSOCIATED EVENTS DURING G1 S TRANSITION%REACTOME DATABASE ID RELEASE 56%69202	CYCLIN E ASSOCIATED EVENTS DURING G1 S TRANSITION	8.3978974235109e-4	0.004172613841786251	-1
B CELL ACTIVATION%REACTOME DATABASE ID RELEASE 56%983705	B CELL ACTIVATION	4.511412958445143e-5	4.2604469395647506e-4	-1
REGULATION OF CELL-CELL ADHESION%GOBP%GO:0022407	REGULATION OF CELL-CELL ADHESION	3.307900304095625e-5	3.3218773476340573e-4	-1
ASSEMBLY OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 56%68867	ASSEMBLY OF THE PRE-REPLICATIVE COMPLEX	8.448896800576756e-4	0.004183377374174463	-1
REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY%GOBP%GO:1904666	REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY	5.899299151430917e-4	0.0031625566127595818	-1
APC C:CDC20 MEDIATED DEGRADATION OF SECURIN%REACTOME DATABASE ID RELEASE 56%174154	APC C:CDC20 MEDIATED DEGRADATION OF SECURIN	8.673235625643455e-4	0.004264839311092264	-1
RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0009607	RESPONSE TO BIOTIC STIMULUS	4.910532308593366e-7	1.2284945740445861e-5	-1
SCF(SKP2)-MEDIATED DEGRADATION OF P27 P21%REACTOME DATABASE ID RELEASE 56%187577	SCF(SKP2)-MEDIATED DEGRADATION OF P27 P21	0.0016410745649169487	0.007267615930346487	-1
APC C:CDH1 MEDIATED DEGRADATION OF CDC20 AND OTHER APC C:CDH1 TARGETED PROTEINS IN LATE MITOSIS EARLY G1%REACTOME%R-HSA-174178.1	APC C:CDH1 MEDIATED DEGRADATION OF CDC20 AND OTHER APC C:CDH1 TARGETED PROTEINS IN LATE MITOSIS EARLY G1	7.042140685804091e-4	0.003612263531639077	-1
AUTODEGRADATION OF CDH1 BY CDH1:APC C%REACTOME%R-HSA-174084.1	AUTODEGRADATION OF CDH1 BY CDH1:APC C	0.0016410745649169487	0.007267615930346487	-1
SYNTHESIS OF DNA%REACTOME DATABASE ID RELEASE 56%69239	SYNTHESIS OF DNA	3.2854750232048723e-4	0.0020369945143870207	-1
ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR	ANDROGENRECEPTOR	2.1070463931153918e-4	0.001417286866312523	-1
REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN MITOTIC CELL CYCLE%GOBP%GO:0051439	REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN MITOTIC CELL CYCLE	5.550305863951602e-4	0.003019394686218138	-1
POSITIVE REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY%GOBP%GO:1904668	POSITIVE REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY	4.5345055654301446e-4	0.0025558122277879	-1
POSITIVE REGULATION OF CATABOLIC PROCESS%GOBP%GO:0009896	POSITIVE REGULATION OF CATABOLIC PROCESS	1.8459912697134118e-6	3.60600486385113e-5	-1
C-TYPE LECTIN RECEPTORS (CLRS)%REACTOME%R-HSA-5621481.1	C-TYPE LECTIN RECEPTORS (CLRS)	1.2559723410582568e-4	9.466708031746678e-4	-1
CLEC7A (DECTIN-1) SIGNALING%REACTOME%R-HSA-5607764.1	CLEC7A (DECTIN-1) SIGNALING	2.4720269639659325e-4	0.0016244748620347555	-1
RIBONUCLEOPROTEIN COMPLEX ASSEMBLY%GOBP%GO:0022618	RIBONUCLEOPROTEIN COMPLEX ASSEMBLY	3.0587474614143106e-4	0.0019214862907386816	-1
MAPK6 MAPK4 SIGNALING%REACTOME%R-HSA-5687128.2	MAPK6 MAPK4 SIGNALING	3.9845015705760174e-4	0.0023286472293612298	-1
DECTIN-1 MEDIATED NONCANONICAL NF-KB SIGNALING%REACTOME%R-HSA-5607761.1	DECTIN-1 MEDIATED NONCANONICAL NF-KB SIGNALING	0.0017327537796999236	0.007533252712963692	-1
NIK-->NONCANONICAL NF-KB SIGNALING%REACTOME DATABASE ID RELEASE 56%5676590	NIK-->NONCANONICAL NF-KB SIGNALING	0.0017327537796999236	0.007533252712963692	-1
POSITIVE REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN REGULATION OF MITOTIC CELL CYCLE TRANSITION%GOBP%GO:0051437	POSITIVE REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN REGULATION OF MITOTIC CELL CYCLE TRANSITION	0.0011599271797979327	0.005405412282326314	-1
REGULATION OF DEFENSE RESPONSE%GOBP%GO:0031347	REGULATION OF DEFENSE RESPONSE	5.6162708416552424e-8	2.002200555050094e-6	-1
HEDGEHOG 'ON' STATE%REACTOME DATABASE ID RELEASE 56%5632684	HEDGEHOG 'ON' STATE	8.523978539163959e-4	0.004205949272265677	-1
G1 S TRANSITION%REACTOME DATABASE ID RELEASE 56%69206	G1 S TRANSITION	4.458852766208556e-4	0.0025331968305232675	-1
TUMOR NECROSIS FACTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0033209	TUMOR NECROSIS FACTOR-MEDIATED SIGNALING PATHWAY	5.594309290327411e-4	0.0030217746393965484	-1
COENZYME METABOLIC PROCESS%GOBP%GO:0006732	COENZYME METABOLIC PROCESS	1.2191600424247694e-4	9.385892092618662e-4	-1
POSITIVE REGULATION OF PROTEOLYSIS INVOLVED IN CELLULAR PROTEIN CATABOLIC PROCESS%GOBP%GO:1903052	POSITIVE REGULATION OF PROTEOLYSIS INVOLVED IN CELLULAR PROTEIN CATABOLIC PROCESS	1.8663365590585362e-4	0.0013046058496164082	-1
CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007166	CELL SURFACE RECEPTOR SIGNALING PATHWAY	2.767173757422416e-12	3.58726343462215e-10	-1
SINGLE-ORGANISM CARBOHYDRATE CATABOLIC PROCESS%GOBP%GO:0044724	SINGLE-ORGANISM CARBOHYDRATE CATABOLIC PROCESS	0.0021378021265109452	0.008734973731818361	-1
TNFR2 NON-CANONICAL NF-KB PATHWAY%REACTOME DATABASE ID RELEASE 56%5668541	TNFR2 NON-CANONICAL NF-KB PATHWAY	0.0015187989519912998	0.006832199702017644	-1
REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050670	REGULATION OF LYMPHOCYTE PROLIFERATION	0.0018761136644608043	0.007868641428003255	-1
REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032944	REGULATION OF MONONUCLEAR CELL PROLIFERATION	0.0018761136644608043	0.007868641428003255	-1
POSITIVE REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048584	POSITIVE REGULATION OF RESPONSE TO STIMULUS	1.3338246298997354e-12	1.9020339222370225e-10	-1
TRNA PROCESSING%REACTOME%R-HSA-72306.3	TRNA PROCESSING	6.823919409426245e-4	0.0035256916948702265	-1
REGULATION OF CELLULAR AMINE METABOLIC PROCESS%GOBP%GO:0033238	REGULATION OF CELLULAR AMINE METABOLIC PROCESS	0.0035634532105544682	0.013062941589333346	-1
WNT SIGNALING PATHWAY, PLANAR CELL POLARITY PATHWAY%GOBP%GO:0060071	WNT SIGNALING PATHWAY, PLANAR CELL POLARITY PATHWAY	0.0018465921456180686	0.007813769731903163	-1
SEPARATION OF SISTER CHROMATIDS%REACTOME%R-HSA-2467813.1	SEPARATION OF SISTER CHROMATIDS	2.2888982700885812e-4	0.0015181250851843333	-1
REGULATION OF DEPHOSPHORYLATION%GOBP%GO:0035303	REGULATION OF DEPHOSPHORYLATION	0.002364819719804875	0.009367313667893756	-1
RNA EXPORT FROM NUCLEUS%GOBP%GO:0006405	RNA EXPORT FROM NUCLEUS	0.0017765316051372925	0.007676769905835695	-1
PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION OR REMOVAL%GOBP%GO:0070647	PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION OR REMOVAL	7.597876534206568e-8	2.6425785214094064e-6	-1
RIBONUCLEOPROTEIN COMPLEX EXPORT FROM NUCLEUS%GOBP%GO:0071426	RIBONUCLEOPROTEIN COMPLEX EXPORT FROM NUCLEUS	0.0019915776996758854	0.008255784301563408	-1
POSITIVE REGULATION OF CELLULAR PROTEIN CATABOLIC PROCESS%GOBP%GO:1903364	POSITIVE REGULATION OF CELLULAR PROTEIN CATABOLIC PROCESS	1.4443226620650514e-4	0.0010251362347856545	-1
RHO GTPASE CYCLE%REACTOME DATABASE ID RELEASE 56%194840	RHO GTPASE CYCLE	0.002284759928529436	0.009143764165081801	-1
CLASS I MHC MEDIATED ANTIGEN PROCESSING & PRESENTATION%REACTOME DATABASE ID RELEASE 56%983169	CLASS I MHC MEDIATED ANTIGEN PROCESSING & PRESENTATION	1.2993083998401798e-5	1.5569863682118458e-4	-1
DNA REPLICATION%REACTOME DATABASE ID RELEASE 56%69306	DNA REPLICATION	0.0021909799360377313	0.008901246121908277	-1
POSITIVE REGULATION OF I-KAPPAB KINASE/NF-KAPPAB SIGNALING%GOBP%GO:0043123	POSITIVE REGULATION OF I-KAPPAB KINASE/NF-KAPPAB SIGNALING	3.94804602545735e-4	0.002316836885721062	-1
MITOTIC G1-G1 S PHASES%REACTOME DATABASE ID RELEASE 56%453279	MITOTIC G1-G1 S PHASES	6.710841955497392e-4	0.0035053701936041326	-1
REGULATION OF ESTABLISHMENT OF PLANAR POLARITY%GOBP%GO:0090175	REGULATION OF ESTABLISHMENT OF PLANAR POLARITY	0.001003335724373449	0.00480119712401523	-1
POSITIVE REGULATION OF PROTEIN MODIFICATION PROCESS%GOBP%GO:0031401	POSITIVE REGULATION OF PROTEIN MODIFICATION PROCESS	2.982489611153441e-8	1.215151481572802e-6	-1
REGULATION OF MRNA STABILITY%GOBP%GO:0043488	REGULATION OF MRNA STABILITY	2.1010929524011094e-4	0.001417286866312523	-1
KITRECEPTOR%IOB%KITRECEPTOR	KITRECEPTOR	0.0011342909929685867	0.005320720249911858	-1
NIK/NF-KAPPAB SIGNALING%GOBP%GO:0038061	NIK/NF-KAPPAB SIGNALING	0.0014539196918133442	0.0066028327405281174	-1
PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION%GOBP%GO:0032446	PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION	1.680680049650838e-6	3.3755630292987254e-5	-1
REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0010564	REGULATION OF CELL CYCLE PROCESS	9.63986205819224e-6	1.205828359208959e-4	-1
PROTEIN IMPORT%GOBP%GO:0017038	PROTEIN IMPORT	8.772077706624033e-4	0.004298619522215077	-1
REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070663	REGULATION OF LEUKOCYTE PROLIFERATION	0.0016151395734289684	0.0071974657240928405	-1
REGULATION OF CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:1902806	REGULATION OF CELL CYCLE G1/S PHASE TRANSITION	0.0019783328342096703	0.008224788984206968	-1
REGULATION OF ORGAN MORPHOGENESIS%GOBP%GO:2000027	REGULATION OF ORGAN MORPHOGENESIS	7.696918733999248e-4	0.003878376718969233	-1
REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:2000045	REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE	0.0026455902929042783	0.010307682398036888	-1
MRNA EXPORT FROM NUCLEUS%GOBP%GO:0006406	MRNA EXPORT FROM NUCLEUS	0.0028791572719674397	0.010890393288661987	-1
MRNA TRANSPORT%GOBP%GO:0051028	MRNA TRANSPORT	0.0028791572719674397	0.010890393288661987	-1
MRNA-CONTAINING RIBONUCLEOPROTEIN COMPLEX EXPORT FROM NUCLEUS%GOBP%GO:0071427	MRNA-CONTAINING RIBONUCLEOPROTEIN COMPLEX EXPORT FROM NUCLEUS	0.0028791572719674397	0.010890393288661987	-1
REGULATION OF RNA STABILITY%GOBP%GO:0043487	REGULATION OF RNA STABILITY	4.267295474132159e-4	0.0024536948976259915	-1
GENE SILENCING BY RNA%GOBP%GO:0031047	GENE SILENCING BY RNA	0.0016711553614225548	0.007332515524272502	-1
CARBOHYDRATE CATABOLIC PROCESS%GOBP%GO:0016052	CARBOHYDRATE CATABOLIC PROCESS	0.002698849083806061	0.010429698627391445	-1
FCERI MEDIATED NF-KB ACTIVATION%REACTOME%R-HSA-2871837.1	FCERI MEDIATED NF-KB ACTIVATION	0.0017317352857366853	0.007533252712963692	-1
ESTABLISHMENT OF RNA LOCALIZATION%GOBP%GO:0051236	ESTABLISHMENT OF RNA LOCALIZATION	9.67536268538043e-4	0.004661171347754221	-1
INFECTIOUS DISEASE%REACTOME%R-HSA-5663205.1	INFECTIOUS DISEASE	6.996797467233053e-6	9.686828338130422e-5	-1
CELLULAR RESPONSE TO HEAT STRESS%REACTOME%R-HSA-3371556.1	CELLULAR RESPONSE TO HEAT STRESS	0.0021840406109546353	0.008898405460632313	-1
RIBONUCLEOPROTEIN COMPLEX SUBUNIT ORGANIZATION%GOBP%GO:0071826	RIBONUCLEOPROTEIN COMPLEX SUBUNIT ORGANIZATION	5.568729330121811e-4	0.003019394686218138	-1
BETA-CATENIN INDEPENDENT WNT SIGNALING%REACTOME DATABASE ID RELEASE 56%3858494	BETA-CATENIN INDEPENDENT WNT SIGNALING	9.319650934428e-4	0.004505024485591298	-1
EGF RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P00018	EGF RECEPTOR SIGNALING PATHWAY	0.0015187989519912998	0.006832199702017644	-1
LEUKOCYTE ACTIVATION%GOBP%GO:0045321	LEUKOCYTE ACTIVATION	1.429516811067237e-4	0.0010251362347856545	-1
CELL CYCLE, MITOTIC%REACTOME DATABASE ID RELEASE 56%69278	CELL CYCLE, MITOTIC	2.433645445245621e-6	4.232168786488116e-5	-1
REGULATION OF PROTEIN CATABOLIC PROCESS%GOBP%GO:0042176	REGULATION OF PROTEIN CATABOLIC PROCESS	2.6711387606746083e-5	2.8215139797940677e-4	-1
REGULATION OF CELL SHAPE%GOBP%GO:0008360	REGULATION OF CELL SHAPE	0.0031328904170772913	0.011634119100917233	-1
RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GOBP%GO:0022613	RIBONUCLEOPROTEIN COMPLEX BIOGENESIS	8.854353777245123e-6	1.1478462260319585e-4	-1
REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002697	REGULATION OF IMMUNE EFFECTOR PROCESS	3.819868941526287e-5	3.6804953450111385e-4	-1
REGULATION OF CELLULAR PROTEIN CATABOLIC PROCESS%GOBP%GO:1903362	REGULATION OF CELLULAR PROTEIN CATABOLIC PROCESS	1.9557905989262656e-4	0.001353862812654784	-1
CELL ACTIVATION%GOBP%GO:0001775	CELL ACTIVATION	4.548398867298942e-5	4.267116305768613e-4	-1
POSTTRANSCRIPTIONAL REGULATION OF GENE EXPRESSION%GOBP%GO:0010608	POSTTRANSCRIPTIONAL REGULATION OF GENE EXPRESSION	3.615685456686903e-5	3.5558396284382916e-4	-1
CARBOHYDRATE METABOLISM%REACTOME%R-HSA-71387.5	CARBOHYDRATE METABOLISM	3.406763089646606e-4	0.002071249638734751	-1
HIV LIFE CYCLE%REACTOME DATABASE ID RELEASE 56%162587	HIV LIFE CYCLE	0.0014520795887715992	0.0066028327405281174	-1
NUCLEIC ACID TRANSPORT%GOBP%GO:0050657	NUCLEIC ACID TRANSPORT	0.0023269834179683786	0.009243115192264367	-1
RNA TRANSPORT%GOBP%GO:0050658	RNA TRANSPORT	0.0023269834179683786	0.009243115192264367	-1
REGULATION OF PROTEOLYSIS INVOLVED IN CELLULAR PROTEIN CATABOLIC PROCESS%GOBP%GO:1903050	REGULATION OF PROTEOLYSIS INVOLVED IN CELLULAR PROTEIN CATABOLIC PROCESS	1.569680024774126e-4	0.00110264222429946	-1
REGULATION OF CHROMATIN ORGANIZATION%GOBP%GO:1902275	REGULATION OF CHROMATIN ORGANIZATION	0.0022891471296873794	0.009143764165081801	-1
MRNA METABOLIC PROCESS%GOBP%GO:0016071	MRNA METABOLIC PROCESS	1.9666328198822035e-6	3.789754596151381e-5	-1
POSITIVE REGULATION OF PROTEIN CATABOLIC PROCESS%GOBP%GO:0045732	POSITIVE REGULATION OF PROTEIN CATABOLIC PROCESS	3.60283249500607e-4	0.002149639806643789	-1
REGULATION OF LIGASE ACTIVITY%GOBP%GO:0051340	REGULATION OF LIGASE ACTIVITY	0.001502800315222907	0.006803153173040842	-1
MITOTIC CELL CYCLE%GOBP%GO:0000278	MITOTIC CELL CYCLE	3.512351191940368e-6	5.757026206559729e-5	-1
POSITIVE REGULATION OF CELLULAR PROTEIN METABOLIC PROCESS%GOBP%GO:0032270	POSITIVE REGULATION OF CELLULAR PROTEIN METABOLIC PROCESS	2.0858118864389293e-8	9.914559166873043e-7	-1
MITOTIC PROPHASE%REACTOME%R-HSA-68875.1	MITOTIC PROPHASE	0.0022889110369503692	0.009143764165081801	-1
CELL CYCLE%REACTOME%R-HSA-1640170.1	CELL CYCLE	7.680399613585116e-6	1.0332311178275826e-4	-1
REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION%GOBP%GO:0051056	REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION	0.001839260628397835	0.007805909690759858	-1
EGFR1%IOB%EGFR1	EGFR1	1.0394828572158673e-5	1.2889587429476754e-4	-1
REGULATION OF RESPONSE TO STRESS%GOBP%GO:0080134	REGULATION OF RESPONSE TO STRESS	1.5653577506004677e-9	9.300833968151112e-8	-1
LYMPHOCYTE ACTIVATION%GOBP%GO:0046649	LYMPHOCYTE ACTIVATION	6.970265345140972e-4	0.003588302665043692	-1
PROTEASOME-MEDIATED UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0043161	PROTEASOME-MEDIATED UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS	1.2013393924912488e-4	9.361256686844377e-4	-1
POSITIVE REGULATION OF CANONICAL WNT SIGNALING PATHWAY%GOBP%GO:0090263	POSITIVE REGULATION OF CANONICAL WNT SIGNALING PATHWAY	0.0030155972601889746	0.01128672360375191	-1
RNA LOCALIZATION%GOBP%GO:0006403	RNA LOCALIZATION	0.0016082558598407536	0.007189256602297538	-1
IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME%R-HSA-198933.3	IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL	0.0018583797617491638	0.007840383255190259	-1
S PHASE%REACTOME DATABASE ID RELEASE 56%69242	S PHASE	0.0014009371003118835	0.006423589405288571	-1
REGULATION OF TYPE I INTERFERON PRODUCTION%GOBP%GO:0032479	REGULATION OF TYPE I INTERFERON PRODUCTION	0.0030967454569419905	0.011529919116447202	-1
POSITIVE REGULATION OF TRANSFERASE ACTIVITY%GOBP%GO:0051347	POSITIVE REGULATION OF TRANSFERASE ACTIVITY	1.6971889552532167e-5	1.895579866327185e-4	-1
POSITIVE REGULATION OF PROTEIN METABOLIC PROCESS%GOBP%GO:0051247	POSITIVE REGULATION OF PROTEIN METABOLIC PROCESS	4.786856170706456e-8	1.763683575407766e-6	-1
SIGNALING BY RHO GTPASES%REACTOME%R-HSA-194315.1	SIGNALING BY RHO GTPASES	8.26210635872476e-5	6.90696062973903e-4	-1
REGULATION OF CHROMATIN MODIFICATION%GOBP%GO:1903308	REGULATION OF CHROMATIN MODIFICATION	0.003537749427485653	0.013002140937099333	-1
G2 M CHECKPOINTS%REACTOME DATABASE ID RELEASE 56%69481	G2 M CHECKPOINTS	0.001972928401516504	0.008224788984206968	-1
MITOTIC CELL CYCLE PROCESS%GOBP%GO:1903047	MITOTIC CELL CYCLE PROCESS	5.2198524344154475e-6	7.458159788370326e-5	-1
MODIFICATION-DEPENDENT MACROMOLECULE CATABOLIC PROCESS%GOBP%GO:0043632	MODIFICATION-DEPENDENT MACROMOLECULE CATABOLIC PROCESS	5.730061808609989e-5	5.237864191716566e-4	-1
PCP CE PATHWAY%REACTOME DATABASE ID RELEASE 56%4086400	PCP CE PATHWAY	0.003651259039151293	0.013316356495728245	-1
LEUKOCYTE DIFFERENTIATION%GOBP%GO:0002521	LEUKOCYTE DIFFERENTIATION	0.00267851059680336	0.01037922856261302	-1
MODIFICATION-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0019941	MODIFICATION-DEPENDENT PROTEIN CATABOLIC PROCESS	6.662676500853494e-5	5.901227757898809e-4	-1
REGULATION OF MITOTIC CELL CYCLE%GOBP%GO:0007346	REGULATION OF MITOTIC CELL CYCLE	1.2613425848750833e-4	9.466708031746678e-4	-1
TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE SIGNALING PATHWAY%GOBP%GO:0007169	TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE SIGNALING PATHWAY	8.797437310006635e-5	7.12792363867583e-4	-1
ANTIGEN PROCESSING: UBIQUITINATION & PROTEASOME DEGRADATION%REACTOME%R-HSA-983168.1	ANTIGEN PROCESSING: UBIQUITINATION & PROTEASOME DEGRADATION	3.520002966361521e-4	0.002126917046623529	-1
PROTEASOMAL PROTEIN CATABOLIC PROCESS%GOBP%GO:0010498	PROTEASOMAL PROTEIN CATABOLIC PROCESS	2.594469826464152e-4	0.0016893671107478907	-1
POSITIVE REGULATION OF UBIQUITIN-PROTEIN TRANSFERASE ACTIVITY%GOBP%GO:0051443	POSITIVE REGULATION OF UBIQUITIN-PROTEIN TRANSFERASE ACTIVITY	0.0037891773443815805	0.013748392488152534	-1
PEPTIDYL-LYSINE MODIFICATION%GOBP%GO:0018205	PEPTIDYL-LYSINE MODIFICATION	5.677628790396117e-4	0.0030552070396622126	-1
PROTEIN CATABOLIC PROCESS%GOBP%GO:0030163	PROTEIN CATABOLIC PROCESS	1.403894458718543e-5	1.6409454902726578e-4	-1
PROTEOLYSIS INVOLVED IN CELLULAR PROTEIN CATABOLIC PROCESS%GOBP%GO:0051603	PROTEOLYSIS INVOLVED IN CELLULAR PROTEIN CATABOLIC PROCESS	9.587612747159186e-5	7.595519876360555e-4	-1
CXCR4-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CXCR4-MEDIATED SIGNALING EVENTS	CXCR4-MEDIATED SIGNALING EVENTS	0.004448810094578802	0.015702978205122207	-1
UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0006511	UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS	2.0807296583338458e-4	0.001417286866312523	-1
PROTEIN POLYUBIQUITINATION%GOBP%GO:0000209	PROTEIN POLYUBIQUITINATION	4.6030652251448427e-4	0.0025818163317296574	-1
REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOBP%GO:0071900	REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY	2.63732787481855e-4	0.0017094679770414782	-1
PROTEIN UBIQUITINATION%GOBP%GO:0016567	PROTEIN UBIQUITINATION	6.464022709607424e-5	5.833985053101384e-4	-1
POSITIVE REGULATION OF CELL COMMUNICATION%GOBP%GO:0010647	POSITIVE REGULATION OF CELL COMMUNICATION	2.0177985508381894e-7	6.394179407767241e-6	-1
NEGATIVE REGULATION OF CATALYTIC ACTIVITY%GOBP%GO:0043086	NEGATIVE REGULATION OF CATALYTIC ACTIVITY	7.389213400948557e-5	6.38607170288039e-4	-1
REGULATION OF PROTEIN METABOLIC PROCESS%GOBP%GO:0051246	REGULATION OF PROTEIN METABOLIC PROCESS	1.3297067929922813e-10	1.0534232704483296e-8	-1
NEGATIVE REGULATION OF HYDROLASE ACTIVITY%GOBP%GO:0051346	NEGATIVE REGULATION OF HYDROLASE ACTIVITY	0.002585173796587231	0.010149042894805355	-1
CELLULAR RESPONSE TO ORGANIC SUBSTANCE%GOBP%GO:0071310	CELLULAR RESPONSE TO ORGANIC SUBSTANCE	2.4953339833618788e-8	1.13429485447587e-6	-1
CELL CYCLE CHECKPOINTS%REACTOME DATABASE ID RELEASE 56%69620	CELL CYCLE CHECKPOINTS	0.00176977451994456	0.007670816004379765	-1
POSITIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009967	POSITIVE REGULATION OF SIGNAL TRANSDUCTION	8.697165817593172e-7	2.0670264093146437e-5	-1
WNT SIGNALING PATHWAY%GOBP%GO:0016055	WNT SIGNALING PATHWAY	0.0027948332562426786	0.01071679114326272	-1
PROGRAMMED CELL DEATH%REACTOME DATABASE ID RELEASE 56%5357801	PROGRAMMED CELL DEATH	0.003896448236943173	0.014031149459295365	-1
CELLULAR PROTEIN CATABOLIC PROCESS%GOBP%GO:0044257	CELLULAR PROTEIN CATABOLIC PROCESS	1.2831840149162102e-4	9.580211545918931e-4	-1
REGULATION OF CELLULAR PROTEIN METABOLIC PROCESS%GOBP%GO:0032268	REGULATION OF CELLULAR PROTEIN METABOLIC PROCESS	1.665626748936145e-9	9.50073497593177e-8	-1
TNFALPHA%IOB%TNFALPHA	TNFALPHA	9.132834149104241e-4	0.004429735202932873	-1
REGULATION OF CELLULAR CATABOLIC PROCESS%GOBP%GO:0031329	REGULATION OF CELLULAR CATABOLIC PROCESS	1.3975460141213366e-5	1.6409454902726578e-4	-1
NEGATIVE REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0044092	NEGATIVE REGULATION OF MOLECULAR FUNCTION	9.332603253840088e-6	1.1777249769890235e-4	-1
REGULATION OF CELL CYCLE%GOBP%GO:0051726	REGULATION OF CELL CYCLE	8.065571854358429e-6	1.0649542096588074e-4	-1
HEMOSTASIS%REACTOME DATABASE ID RELEASE 56%109582	HEMOSTASIS	5.2841862575192775e-5	4.893019222871747e-4	-1
REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002831	REGULATION OF RESPONSE TO BIOTIC STIMULUS	0.002279393735341428	0.009143764165081801	-1
REGULATION OF CATABOLIC PROCESS%GOBP%GO:0009894	REGULATION OF CATABOLIC PROCESS	1.510436918150205e-5	1.7370024558727357e-4	-1
REGULATION OF CHROMOSOME ORGANIZATION%GOBP%GO:0033044	REGULATION OF CHROMOSOME ORGANIZATION	0.0013722867653211373	0.0063125191204772314	-1
REGULATION OF HYDROLASE ACTIVITY%GOBP%GO:0051336	REGULATION OF HYDROLASE ACTIVITY	6.036654745566059e-5	5.482974310303949e-4	-1
REGULATION OF VIRAL PROCESS%GOBP%GO:0050792	REGULATION OF VIRAL PROCESS	0.0039709026618529155	0.014263242306806694	-1
POSITIVE REGULATION OF PROTEOLYSIS%GOBP%GO:0045862	POSITIVE REGULATION OF PROTEOLYSIS	0.00049432918924243775	0.0027216734511958155	-1
GENE SILENCING%GOBP%GO:0016458	GENE SILENCING	0.004924911911201995	0.016841545288666774	-1
RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0009605	RESPONSE TO EXTERNAL STIMULUS	4.505801457822094e-6	6.908895568660545e-5	-1
G-PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007186	G-PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY	0.0010922549666437396	0.005191851941446575	+1
SIGNALING BY INTERLEUKINS%REACTOME DATABASE ID RELEASE 56%449147	SIGNALING BY INTERLEUKINS	5.451819271633237e-4	0.0029786568127773932	-1
